File version,2
Missing data value,-9999
EOM
Project name,Uncertainty SA Murray 4.8.2 Operation
Source version,4.8.2.8880
Latest result run time,2020-09-01 10:59:09
Simulation time,2014-03-01 - 2015-02-01
Field,Units,RunName,ScenarioName,ScenarioInputSetName,Name,Site,ElementName,WaterFeatureType,ElementType,Structure,Custom
EOC
157
1,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@$DaysinNextMonth,Functions,Functions,Functions,Miscellaneous,Functions@$DaysinNextMonth,8d535093-cff5-4186-a490-1251e758e0c1,
2,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@$f_EOWY,Functions,Functions,Functions,Miscellaneous,Functions@$f_EOWY,8d535093-cff5-4186-a490-1251e758e0c1,
3,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@$f_SOWY,Functions,Functions,Functions,Miscellaneous,Functions@$f_SOWY,8d535093-cff5-4186-a490-1251e758e0c1,
4,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Accounts@SA@SAOrder@Inputs@$f_PercentAllocOther,Functions,Functions,Functions,Miscellaneous,Functions@Accounts@SA@SAOrder@Inputs@$f_PercentAllocOther,8d535093-cff5-4186-a490-1251e758e0c1,
5,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_DecayNonReadily,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_DecayNonReadily,8d535093-cff5-4186-a490-1251e758e0c1,
6,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_DecayReadily,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_DecayReadily,8d535093-cff5-4186-a490-1251e758e0c1,
7,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_DOCDecomposition,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_DOCDecomposition,8d535093-cff5-4186-a490-1251e758e0c1,
8,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_DOCReleaseNonReadily,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_DOCReleaseNonReadily,8d535093-cff5-4186-a490-1251e758e0c1,
9,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_DOCReleaseReadily,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_DOCReleaseReadily,8d535093-cff5-4186-a490-1251e758e0c1,
10,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_FractionDegradable,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_FractionDegradable,8d535093-cff5-4186-a490-1251e758e0c1,
11,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_MaxDOCReleaseNonReadily,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_MaxDOCReleaseNonReadily,8d535093-cff5-4186-a490-1251e758e0c1,
12,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_MaxDOCReleaseReadily,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_MaxDOCReleaseReadily,8d535093-cff5-4186-a490-1251e758e0c1,
13,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_Reaeration,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_Reaeration,8d535093-cff5-4186-a490-1251e758e0c1,
14,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Blackwater@$f_WaterTemp,Functions,Functions,Functions,Miscellaneous,Functions@Blackwater@$f_WaterTemp,8d535093-cff5-4186-a490-1251e758e0c1,
15,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Climate@$f_LakeAlexandrina_Evap,Functions,Functions,Functions,Miscellaneous,Functions@Climate@$f_LakeAlexandrina_Evap,8d535093-cff5-4186-a490-1251e758e0c1,
16,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Climate@$f_LakeAlexandrina_Rain,Functions,Functions,Functions,Miscellaneous,Functions@Climate@$f_LakeAlexandrina_Rain,8d535093-cff5-4186-a490-1251e758e0c1,
17,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Climate@24004@$24004_evap,Functions,Functions,Functions,Miscellaneous,Functions@Climate@24004@$24004_evap,8d535093-cff5-4186-a490-1251e758e0c1,
18,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Climate@24004@$24004_rain,Functions,Functions,Functions,Miscellaneous,Functions@Climate@24004@$24004_rain,8d535093-cff5-4186-a490-1251e758e0c1,
19,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Climate@24007@$24007_evap,Functions,Functions,Functions,Miscellaneous,Functions@Climate@24007@$24007_evap,8d535093-cff5-4186-a490-1251e758e0c1,
20,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Climate@24007@$24007_rain,Functions,Functions,Functions,Miscellaneous,Functions@Climate@24007@$24007_rain,8d535093-cff5-4186-a490-1251e758e0c1,
21,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Climate@24008@$24008_evap,Functions,Functions,Functions,Miscellaneous,Functions@Climate@24008@$24008_evap,8d535093-cff5-4186-a490-1251e758e0c1,
22,none,,Scenario 1,SA Only,Functions\Functions\Functions\Functions@Climate@24008@$24008_rain,Functions,Functions,Functions,Miscellaneous,Functions@Climate@24008@$24008_rain,8d535093-cff5-4186-a490-1251e758e0c1,
