DATE,QSA_Ramp
6/10/1900,20000
7/10/1900,20000
8/10/1900,20000
9/10/1900,20000
10/10/1900,20000
11/10/1900,20000
12/10/1900,20000
13/10/1900,20000
14/10/1900,20000
15/10/1900,20000
16/10/1900,20000
17/10/1900,20000
18/10/1900,20000
19/10/1900,20000
20/10/1900,20000
21/10/1900,20000
22/10/1900,20000
23/10/1900,20000
24/10/1900,20000
25/10/1900,20000
26/10/1900,20000
27/10/1900,20000
28/10/1900,20000
29/10/1900,20000
30/10/1900,20000
31/10/1900,20000
1/11/1900,20000
2/11/1900,20000
3/11/1900,20000
4/11/1900,20000
5/11/1900,20000
6/11/1900,20000
7/11/1900,20000
8/11/1900,20000
9/11/1900,20000
10/11/1900,20000
11/11/1900,20000
12/11/1900,20000
13/11/1900,20000
14/11/1900,20000
15/11/1900,20000
16/11/1900,20000
17/11/1900,20000
18/11/1900,20000
19/11/1900,20000
20/11/1900,20000
21/11/1900,20000
22/11/1900,20000
23/11/1900,20000
24/11/1900,20000
25/11/1900,20000
26/11/1900,20000
27/11/1900,20000
28/11/1900,20000
29/11/1900,20000
30/11/1900,20000
1/12/1900,20000
2/12/1900,20000
3/12/1900,20000
4/12/1900,20000
5/12/1900,20000
6/12/1900,20000
7/12/1900,20000
8/12/1900,20000
9/12/1900,20000
10/12/1900,20000
11/12/1900,20000
12/12/1900,20000
13/12/1900,20000
14/12/1900,20000
15/12/1900,20000
16/12/1900,20000
17/12/1900,20000
18/12/1900,20000
19/12/1900,20000
20/12/1900,20000
21/12/1900,20000
22/12/1900,20000
23/12/1900,20000
24/12/1900,20000
25/12/1900,20000
26/12/1900,20000
27/12/1900,25000
28/12/1900,25000
29/12/1900,25000
30/12/1900,25000
31/12/1900,25000
1/01/1901,25000
2/01/1901,25000
3/01/1901,25000
4/01/1901,25000
5/01/1901,25000
6/01/1901,25000
7/01/1901,25000
8/01/1901,25000
9/01/1901,25000
10/01/1901,25000
11/01/1901,25000
12/01/1901,25000
13/01/1901,25000
14/01/1901,25000
15/01/1901,25000
16/01/1901,25000
17/01/1901,25000
18/01/1901,25000
19/01/1901,25000
20/01/1901,25000
21/01/1901,25000
22/01/1901,25000
23/01/1901,25000
24/01/1901,25000
25/01/1901,25000
26/01/1901,25000
27/01/1901,25000
28/01/1901,25000
29/01/1901,25000
30/01/1901,25000
31/01/1901,25000
1/02/1901,25000
2/02/1901,25000
3/02/1901,25000
4/02/1901,25000
5/02/1901,25000
6/02/1901,25000
7/02/1901,25000
8/02/1901,25000
9/02/1901,25000
10/02/1901,25000
11/02/1901,25000
12/02/1901,25000
13/02/1901,25000
14/02/1901,25000
15/02/1901,25000
16/02/1901,25000
17/02/1901,25000
18/02/1901,25000
19/02/1901,25000
20/02/1901,25000
21/02/1901,25000
22/02/1901,25000
23/02/1901,25000
24/02/1901,25000
25/02/1901,25000
26/02/1901,25000
27/02/1901,25000
28/02/1901,25000
1/03/1901,25000
2/03/1901,25000
3/03/1901,25000
4/03/1901,25000
5/03/1901,25000
6/03/1901,25000
7/03/1901,25000
8/03/1901,25000
9/03/1901,25000
10/03/1901,25000
11/03/1901,25000
12/03/1901,25000
13/03/1901,25000
14/03/1901,25000
15/03/1901,25000
16/03/1901,25000
17/03/1901,25000
18/03/1901,25000
19/03/1901,25000
20/03/1901,25000
21/03/1901,25000
22/03/1901,25000
23/03/1901,25000
24/03/1901,25000
25/03/1901,25000
26/03/1901,25000
27/03/1901,30000
28/03/1901,30000
29/03/1901,30000
30/03/1901,30000
31/03/1901,30000
1/04/1901,30000
2/04/1901,30000
3/04/1901,30000
4/04/1901,30000
5/04/1901,30000
6/04/1901,30000
7/04/1901,30000
8/04/1901,30000
9/04/1901,30000
10/04/1901,30000
11/04/1901,30000
12/04/1901,30000
13/04/1901,30000
14/04/1901,30000
15/04/1901,30000
16/04/1901,30000
17/04/1901,30000
18/04/1901,30000
19/04/1901,30000
20/04/1901,30000
21/04/1901,30000
22/04/1901,30000
23/04/1901,30000
24/04/1901,30000
25/04/1901,30000
26/04/1901,30000
27/04/1901,30000
28/04/1901,30000
29/04/1901,30000
30/04/1901,30000
1/05/1901,30000
2/05/1901,30000
3/05/1901,30000
4/05/1901,30000
5/05/1901,30000
6/05/1901,30000
7/05/1901,30000
8/05/1901,30000
