Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
10.4,93479.01,44679.36,278374.03,504804.18,85358.76
12.6463,97561.72,50496.69,452282.79,870329.4,201128.27
13.0963,104436.28,75042.96,540866.9,1101911.52,317278.51
13.5463,105767.8,141293.3,655680.9,1393308.7,433258.3
13.79615,149902.9,365003.9,854669.8,1963957.4,1204895.9
14.046,201780.2,909749.3,1316748,2876557.1,2034491.6
14.253,291941.3,1322765.4,1755058.3,3490320.6,2599424.9
14.46,456359.1,1997513.6,2442318.8,4234108.6,3454183
14.54629442,700530.4,2569386.1,3114534,4566352.7,4278304.2
14.63258883,1022622,3078716,3522068,4716171,4933707
14.71888325,1146590,3215132,3754696,4784603,5257098
14.80727273,1323572,3323060,4080939,4853887,5601130
14.92848485,1474380,3400110,4405660,4914864,5819237
15.04969697,1635123,3490513,4650259,4956344,5996305
15.17090909,1792523,3587729,4889968,4997336,6220739
