Date,Scenario A,Scenario B,Scenario C,Scenario D,Scenario E,Scenario F,Scenario G,Scenario H,Scenario I,Scenario J,Scenario K,Scenario L,Scenario M,Scenario N,Scenario O,Scenario P
14/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
15/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
16/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
17/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
18/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
19/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
20/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
21/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
22/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
23/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
24/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
25/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
26/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
27/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
28/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
