XValue,YValue
0,0
0.1,60.20825699
0.2,60.20825699
0.3,60.20825699
0.4,74.08366886
0.5,80.32502055
0.6,85.22477813
0.7,88.94160242
0.8,91.65496218
0.9,93.09903555
1,94.66847696
1.1,96.07977777
1.2,97.10040888
1.3,97.98318716
1.4,98.47789673
1.5,98.898738
1.6,99.17548405
1.7,99.40177076
1.8,99.61349189
1.9,99.77475369
2,99.88139455
2.1,99.93029329
2.2,99.98127282
2.25,100
4,100
