Y down X across,13.2,13.3,13.4,13.5,13.6,13.7,13.8,13.9,14,14.1,14.2,14.34,16
0,0,0,0,0.160126736,0.694110136,1.19924341,1.849480868,2.472575309,2.973782234,3.416776775,3.456893814,3.049748543,3.049748543
200,0,0,0,0,0,0.09525663,0.755736737,1.407510593,1.920155142,2.363491104,2.401901036,2.010119737,2.010119737
400,0,0,0,0,0,0,0,0.197170981,0.732007935,1.194292796,1.29040298,0.813778411,0.813778411
600,0,0,0,0,0,0,0,0,0,0,0.05718812,0.05718812,0.05718812
800,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0,0,0
