Date,Kat_Low,Kat_Mid,Lock4_Low,Lock 4_Mid
25/10/2017,12.05,12.1,13.5,13.5
26/10/2017,12,12.05,13.5,13.5
27/10/2017,12,12.05,13.5,13.5
28/10/2017,12,12.05,13.5,13.5
29/10/2017,11.95,12,13.5,13.5
30/10/2017,11.9,11.95,13.5,13.5
31/10/2017,11.85,11.9,13.5,13.5
1/11/2017,11.8,11.85,13.5,13.5
2/11/2017,11.75,11.8,13.5,13.5
3/11/2017,11.75,11.8,13.5,13.5
4/11/2017,11.75,11.8,13.5,13.5
5/11/2017,11.7,11.75,13.5,13.5
6/11/2017,11.65,11.7,13.5,13.5
7/11/2017,11.6,11.65,13.5,13.5
8/11/2017,11.55,11.6,13.5,13.5
9/11/2017,11.5,11.55,13.5,13.5
10/11/2017,11.5,11.55,13.5,13.5
11/11/2017,11.5,11.55,13.5,13.5
12/11/2017,11.45,11.5,13.5,13.5
13/11/2017,11.4,11.45,13.5,13.5
14/11/2017,11.35,11.4,13.5,13.5
15/11/2017,11.3,11.35,13.5,13.5
16/11/2017,11.25,11.3,13.5,13.5
17/11/2017,11.25,11.3,13.5,13.5
18/11/2017,11.25,11.3,13.5,13.5
19/11/2017,11.2,11.25,13.5,13.5
20/11/2017,11.15,11.2,13.5,13.5
21/11/2017,11.1,11.15,13.5,13.5
22/11/2017,11.05,11.1,13.5,13.5
23/11/2017,11,11.05,13.5,13.5
24/11/2017,11,11.05,13.5,13.5
25/11/2017,11,11.05,13.5,13.5
26/11/2017,10.95,11,13.5,13.5
27/11/2017,10.9,10.95,13.5,13.5
28/11/2017,10.85,10.9,13.5,13.5
29/11/2017,10.8,10.85,13.5,13.5
30/11/2017,10.75,10.8,13.5,13.5
1/12/2017,10.75,10.8,13.5,13.5
2/12/2017,10.75,10.8,13.5,13.5
3/12/2017,10.7,10.75,13.5,13.5
4/12/2017,10.65,10.7,13.475,13.5
5/12/2017,10.6,10.65,13.475,13.5
6/12/2017,10.55,10.6,13.475,13.5
7/12/2017,10.5,10.55,13.45,13.475
8/12/2017,10.5,10.55,13.425,13.475
9/12/2017,10.5,10.55,13.4,13.475
10/12/2017,10.45,10.5,13.375,13.45
11/12/2017,10.4,10.45,13.35,13.425
12/12/2017,10.35,10.4,13.35,13.4
13/12/2017,10.3,10.35,13.35,13.375
14/12/2017,10.25,10.3,13.325,13.35
15/12/2017,10.25,10.3,13.3,13.35
16/12/2017,10.25,10.3,13.275,13.35
17/12/2017,10.2,10.25,13.25,13.325
18/12/2017,10.15,10.2,13.225,13.3
19/12/2017,10.1,10.15,13.225,13.275
20/12/2017,10.05,10.1,13.225,13.25
21/12/2017,10,10.05,13.2,13.225
22/12/2017,10,10.05,13.2,13.225
23/12/2017,10,10.05,13.2,13.225
24/12/2017,10,10,13.2,13.2
25/12/2017,10,10,13.2,13.2
26/12/2017,10,10,13.2,13.2
27/12/2017,10,10,13.2,13.2
28/12/2017,10,10,13.2,13.2
29/12/2017,10,10,13.2,13.2
30/12/2017,10,10,13.2,13.2
31/12/2017,10,10,13.2,13.2
1/01/2018,10,10,13.2,13.2
2/01/2018,10,10,13.2,13.2
3/01/2018,10,10,13.2,13.2
4/01/2018,10,10,13.2,13.2
5/01/2018,10,10,13.2,13.2
6/01/2018,10,10,13.2,13.2
7/01/2018,10,10,13.2,13.2
8/01/2018,10,10,13.2,13.2
9/01/2018,10,10,13.2,13.2
10/01/2018,10,10,13.2,13.2
11/01/2018,10,10,13.2,13.2
12/01/2018,10,10,13.2,13.2
13/01/2018,10,10,13.2,13.2
14/01/2018,10,10,13.2,13.2
15/01/2018,10,10,13.2,13.2
16/01/2018,10,10,13.2,13.2
17/01/2018,10,10,13.2,13.2
18/01/2018,10,10,13.2,13.2
19/01/2018,10,10,13.2,13.2
20/01/2018,10,10,13.2,13.2
21/01/2018,10,10,13.2,13.2
22/01/2018,10,10,13.2,13.2
23/01/2018,10,10,13.2,13.2
24/01/2018,10,10,13.2,13.2
25/01/2018,10,10,13.2,13.2
26/01/2018,10,10,13.2,13.2
27/01/2018,10,10,13.2,13.2
28/01/2018,10,10,13.2,13.2
29/01/2018,10,10,13.2,13.2
30/01/2018,10,10,13.2,13.2
31/01/2018,10,10,13.2,13.2
1/02/2018,10,10,13.2,13.2
2/02/2018,10,10,13.2,13.2
3/02/2018,10,10,13.2,13.2
4/02/2018,10,10,13.2,13.2
5/02/2018,10,10,13.2,13.2
6/02/2018,10,10,13.2,13.2
7/02/2018,10,10,13.2,13.2
8/02/2018,10,10,13.2,13.2
9/02/2018,10,10,13.2,13.2
10/02/2018,10,10,13.2,13.2
11/02/2018,10,10,13.2,13.2
12/02/2018,10,10,13.2,13.2
13/02/2018,10,10,13.2,13.2
14/02/2018,10,10,13.2,13.2
15/02/2018,10,10,13.2,13.2
16/02/2018,10,10,13.2,13.2
17/02/2018,10,10,13.2,13.2
18/02/2018,10,10,13.2,13.2
19/02/2018,10,10,13.2,13.2
20/02/2018,10,10,13.2,13.2
21/02/2018,10,10,13.2,13.2
22/02/2018,10,10,13.2,13.2
23/02/2018,10,10,13.2,13.2
24/02/2018,10,10,13.2,13.2
25/02/2018,10,10,13.2,13.2
26/02/2018,10,10,13.2,13.2
27/02/2018,10,10,13.2,13.2
28/02/2018,10,10,13.2,13.2
1/03/2018,10,10,13.2,13.2
2/03/2018,10,10,13.2,13.2
3/03/2018,10,10,13.2,13.2
4/03/2018,10,10,13.2,13.2
5/03/2018,10,10,13.2,13.2
6/03/2018,10,10,13.2,13.2
7/03/2018,10,10,13.2,13.2
8/03/2018,10,10,13.2,13.2
9/03/2018,10,10,13.2,13.2
10/03/2018,10,10,13.2,13.2
11/03/2018,10,10,13.2,13.2
12/03/2018,10,10,13.2,13.2
13/03/2018,10,10,13.2,13.2
14/03/2018,10,10,13.2,13.2
15/03/2018,10,10,13.2,13.2
16/03/2018,10,10,13.2,13.2
17/03/2018,10,10,13.2,13.2
18/03/2018,10,10,13.2,13.2
19/03/2018,10,10,13.2,13.2
20/03/2018,10,10,13.2,13.2
21/03/2018,10,10,13.2,13.2
22/03/2018,10,10,13.2,13.2
23/03/2018,10,10,13.2,13.2
24/03/2018,10,10,13.2,13.2
25/03/2018,10,10,13.2,13.2
26/03/2018,10,10,13.2,13.2
27/03/2018,10,10,13.2,13.2
28/03/2018,10,10,13.2,13.2
29/03/2018,10,10,13.2,13.2
30/03/2018,10,10,13.2,13.2
31/03/2018,10,10,13.2,13.2
1/04/2018,10,10,13.2,13.2
2/04/2018,10,10,13.2,13.2
3/04/2018,10,10,13.2,13.2
4/04/2018,10,10,13.2,13.2
5/04/2018,10,10,13.2,13.2
6/04/2018,10,10,13.2,13.2
7/04/2018,10,10,13.2,13.2
8/04/2018,10,10,13.2,13.2
9/04/2018,10,10,13.2,13.2
10/04/2018,10,10,13.2,13.2
11/04/2018,10,10,13.2,13.2
12/04/2018,10,10,13.2,13.2
13/04/2018,10,10,13.2,13.2
14/04/2018,10,10,13.2,13.2
15/04/2018,10,10,13.2,13.2
16/04/2018,10,10,13.2,13.2
17/04/2018,10,10,13.2,13.2
18/04/2018,10,10,13.2,13.2
19/04/2018,10,10,13.2,13.2
20/04/2018,10,10,13.2,13.2
21/04/2018,10,10,13.2,13.2
22/04/2018,10,10,13.2,13.2
23/04/2018,10,10,13.2,13.2
24/04/2018,10,10,13.2,13.2
25/04/2018,10,10,13.2,13.2
26/04/2018,10,10,13.2,13.2
27/04/2018,10,10,13.2,13.2
28/04/2018,10,10,13.2,13.2
29/04/2018,10,10,13.2,13.2
30/04/2018,10,10,13.2,13.2
1/05/2018,10,10,13.2,13.2
2/05/2018,10,10,13.2,13.2
3/05/2018,10,10,13.2,13.2
4/05/2018,10,10,13.2,13.2
5/05/2018,10,10,13.2,13.2
6/05/2018,10,10,13.2,13.2
7/05/2018,10,10,13.2,13.2
8/05/2018,10,10,13.2,13.2
9/05/2018,10,10,13.2,13.2
10/05/2018,10,10,13.2,13.2
11/05/2018,10,10,13.2,13.2
12/05/2018,10,10,13.2,13.2
13/05/2018,10,10,13.2,13.2
14/05/2018,10,10,13.2,13.2
15/05/2018,10,10,13.2,13.2
16/05/2018,10,10,13.2,13.2
17/05/2018,10,10,13.2,13.2
18/05/2018,10,10,13.2,13.2
19/05/2018,10,10,13.2,13.2
20/05/2018,10,10,13.2,13.2
21/05/2018,10,10,13.2,13.2
22/05/2018,10,10,13.2,13.2
23/05/2018,10,10,13.2,13.2
24/05/2018,10,10,13.2,13.2
25/05/2018,10,10,13.2,13.2
26/05/2018,10,10,13.2,13.2
27/05/2018,10,10,13.2,13.2
28/05/2018,10,10,13.2,13.2
29/05/2018,10,10,13.2,13.2
30/05/2018,10,10,13.2,13.2
31/05/2018,10,10,13.2,13.2
1/06/2018,10,10,13.2,13.2
2/06/2018,10,10,13.2,13.2
3/06/2018,10,10,13.2,13.2
4/06/2018,10,10,13.2,13.2
5/06/2018,10,10,13.2,13.2
6/06/2018,10,10,13.2,13.2
7/06/2018,10,10,13.2,13.2
8/06/2018,10,10,13.2,13.2
9/06/2018,10,10,13.2,13.2
10/06/2018,10,10,13.2,13.2
11/06/2018,10,10,13.2,13.2
12/06/2018,10,10,13.2,13.2
13/06/2018,10,10,13.2,13.2
14/06/2018,10,10,13.2,13.2
15/06/2018,10,10,13.2,13.2
16/06/2018,10,10,13.2,13.2
17/06/2018,10,10,13.2,13.2
18/06/2018,10,10,13.2,13.2
19/06/2018,10,10,13.2,13.2
20/06/2018,10,10,13.2,13.2
21/06/2018,10,10,13.2,13.2
22/06/2018,10,10,13.2,13.2
23/06/2018,10,10,13.2,13.2
24/06/2018,10,10,13.2,13.2
25/06/2018,10,10,13.2,13.2
26/06/2018,10,10,13.2,13.2
27/06/2018,10,10,13.2,13.2
28/06/2018,10,10,13.2,13.2
29/06/2018,10,10,13.2,13.2
30/06/2018,10,10,13.2,13.2
1/07/2018,10,10,13.2,13.2
