Date,b-sairrsw.70,b-sacount.70,b-srstock.224,b-mamanad.224,b-mbonknt.224,Eastern Mount Lofty Range
20/11/1969,1865,113,18,198,0,47
21/11/1969,1865,113,18,198,0,42
22/11/1969,1865,113,18,198,0,39
23/11/1969,1865,113,18,198,0,35
24/11/1969,1865,113,18,198,0,32
25/11/1969,1865,113,18,198,0,30
26/11/1969,1865,113,18,198,0,28
27/11/1969,1865,113,18,198,0,26
28/11/1969,1865,113,18,198,0,25
29/11/1969,1865,113,18,198,0,24
30/11/1969,1865,113,18,198,0,22
1/12/1969,1914,117,18,177,0,25
2/12/1969,1914,117,18,177,0,34
3/12/1969,1914,117,18,177,0,38
4/12/1969,1914,117,18,177,0,36
5/12/1969,1914,117,18,177,0,32
6/12/1969,1914,117,18,177,0,29
7/12/1969,1914,117,18,177,0,27
8/12/1969,1914,117,18,177,0,25
9/12/1969,1914,117,18,177,0,24
10/12/1969,1914,117,18,177,0,24
11/12/1969,1914,117,18,177,0,23
12/12/1969,1914,117,18,177,0,23
13/12/1969,1914,117,18,177,0,22
14/12/1969,1914,117,18,177,0,21
15/12/1969,1914,117,18,177,0,21
16/12/1969,1914,117,18,177,0,20
17/12/1969,1914,117,18,177,0,19
18/12/1969,1914,117,18,177,0,18
19/12/1969,1914,117,18,177,0,18
20/12/1969,1914,117,18,177,0,17
21/12/1969,1914,117,18,177,0,16
22/12/1969,1914,117,18,177,0,16
23/12/1969,1914,117,18,177,0,15
24/12/1969,1914,117,18,177,0,15
25/12/1969,1914,117,18,177,0,14
26/12/1969,1914,117,18,177,0,14
27/12/1969,1914,117,18,177,0,13
28/12/1969,1914,117,18,177,0,13
29/12/1969,1914,117,18,177,0,12
30/12/1969,1914,117,18,177,0,12
31/12/1969,1914,117,18,177,0,11
1/01/1970,1940,117,17,189,0,18
2/01/1970,1940,117,17,189,0,31
3/01/1970,1940,117,17,189,0,37
4/01/1970,1940,117,17,189,0,37
5/01/1970,1940,117,17,189,0,34
6/01/1970,1940,117,17,189,0,30
7/01/1970,1940,117,17,189,0,25
8/01/1970,1940,117,17,189,0,21
9/01/1970,1940,117,17,189,0,17
10/01/1970,1940,117,17,189,0,15
11/01/1970,1940,117,17,189,0,14
12/01/1970,1940,117,17,189,0,15
13/01/1970,1940,117,17,189,0,16
14/01/1970,1940,117,17,189,0,17
15/01/1970,1940,117,17,189,0,16
16/01/1970,1940,117,17,189,0,15
17/01/1970,1940,117,17,189,0,14
18/01/1970,1940,117,17,189,0,13
19/01/1970,1940,117,17,189,0,12
20/01/1970,1940,117,17,189,0,11
21/01/1970,1940,117,17,189,0,10
22/01/1970,1940,117,17,189,0,9
23/01/1970,1940,117,17,189,0,9
24/01/1970,1940,117,17,189,0,8
25/01/1970,1940,117,17,189,0,8
26/01/1970,1940,117,17,189,0,8
27/01/1970,1940,117,17,189,0,8
28/01/1970,1940,117,17,189,0,7
29/01/1970,1940,117,17,189,0,7
30/01/1970,1940,117,17,189,0,7
31/01/1970,1940,117,17,189,0,6
1/02/1970,2040,134,19,252,0,6
2/02/1970,2040,134,19,252,0,6
3/02/1970,2040,134,19,252,0,6
4/02/1970,2040,134,19,252,0,6
5/02/1970,2040,134,19,252,0,6
6/02/1970,2040,134,19,252,0,6
7/02/1970,2040,134,19,252,0,5
8/02/1970,2040,134,19,252,0,5
9/02/1970,2040,134,19,252,0,5
10/02/1970,2040,134,19,252,0,5
11/02/1970,2040,134,19,252,0,5
12/02/1970,2040,134,19,252,0,5
13/02/1970,2040,134,19,252,0,5
14/02/1970,2040,134,19,252,0,5
15/02/1970,2040,134,19,252,0,5
16/02/1970,2040,134,19,252,0,5
17/02/1970,2040,134,19,252,0,5
18/02/1970,2040,134,19,252,0,5
19/02/1970,2040,134,19,252,0,5
20/02/1970,2040,134,19,252,0,5
21/02/1970,2040,134,19,252,0,5
22/02/1970,2040,134,19,252,0,5
23/02/1970,2040,134,19,252,0,5
24/02/1970,2040,134,19,252,0,5
25/02/1970,2040,134,19,252,0,5
26/02/1970,2040,134,19,252,0,5
27/02/1970,2040,134,19,252,0,5
28/02/1970,2040,134,19,252,0,5
1/03/1970,1428,110,18,250,0,4
2/03/1970,1428,110,18,250,0,5
3/03/1970,1428,110,18,250,0,5
4/03/1970,1428,110,18,250,0,5
5/03/1970,1428,110,18,250,0,6
6/03/1970,1428,110,18,250,0,6
7/03/1970,1428,110,18,250,0,6
8/03/1970,1428,110,18,250,0,7
9/03/1970,1428,110,18,250,0,7
10/03/1970,1428,110,18,250,0,7
11/03/1970,1428,110,18,250,0,7
12/03/1970,1428,110,18,250,0,7
13/03/1970,1428,110,18,250,0,7
14/03/1970,1428,110,18,250,0,7
15/03/1970,1428,110,18,250,0,7
16/03/1970,1428,110,18,250,0,7
17/03/1970,1428,110,18,250,0,7
18/03/1970,1428,110,18,250,0,6
19/03/1970,1428,110,18,250,0,6
20/03/1970,1428,110,18,250,0,6
21/03/1970,1428,110,18,250,0,7
22/03/1970,1428,110,18,250,0,13
23/03/1970,1428,110,18,250,0,19
24/03/1970,1428,110,18,250,0,20
25/03/1970,1428,110,18,250,0,19
26/03/1970,1428,110,18,250,0,16
27/03/1970,1428,110,18,250,0,14
28/03/1970,1428,110,18,250,0,12
29/03/1970,1428,110,18,250,0,10
30/03/1970,1428,110,18,250,0,9
31/03/1970,1428,110,18,250,0,9
1/04/1970,792,76,15,149,0,8
2/04/1970,792,76,15,149,0,9
3/04/1970,792,76,15,149,0,9
4/04/1970,792,76,15,149,0,9
5/04/1970,792,76,15,149,0,10
6/04/1970,792,76,15,149,0,10
7/04/1970,792,76,15,149,0,10
8/04/1970,792,76,15,149,0,10
9/04/1970,792,76,15,149,0,11
10/04/1970,792,76,15,149,0,14
11/04/1970,792,76,15,149,0,15
12/04/1970,792,76,15,149,0,15
13/04/1970,792,76,15,149,0,14
14/04/1970,792,76,15,149,0,13
15/04/1970,792,76,15,149,0,12
16/04/1970,792,76,15,149,0,11
17/04/1970,792,76,15,149,0,10
18/04/1970,792,76,15,149,0,9
19/04/1970,792,76,15,149,0,9
20/04/1970,792,76,15,149,0,9
21/04/1970,792,76,15,149,0,12
22/04/1970,792,76,15,149,0,13
23/04/1970,792,76,15,149,0,14
24/04/1970,792,76,15,149,0,14
25/04/1970,792,76,15,149,0,23
26/04/1970,792,76,15,149,0,36
27/04/1970,792,76,15,149,0,43
28/04/1970,792,76,15,149,0,54
29/04/1970,792,76,15,149,0,53
30/04/1970,792,76,15,149,0,45
1/05/1970,567,41,0,28,0,35
2/05/1970,567,41,0,28,0,38
3/05/1970,567,41,0,28,0,38
4/05/1970,567,41,0,28,0,36
5/05/1970,567,41,0,28,0,33
6/05/1970,567,41,0,28,0,34
7/05/1970,567,41,0,28,0,34
8/05/1970,567,41,0,28,0,32
9/05/1970,567,41,0,28,0,31
10/05/1970,567,41,0,28,0,28
11/05/1970,567,41,0,28,0,26
12/05/1970,567,41,0,28,0,26
13/05/1970,567,41,0,28,0,25
14/05/1970,567,41,0,28,0,33
15/05/1970,567,41,0,28,0,64
16/05/1970,567,41,0,28,0,90
17/05/1970,567,41,0,28,0,86
18/05/1970,567,41,0,28,0,70
19/05/1970,567,41,0,28,0,56
20/05/1970,567,41,0,28,0,55
21/05/1970,567,41,0,28,0,54
22/05/1970,567,41,0,28,0,51
23/05/1970,567,41,0,28,0,50
24/05/1970,567,41,0,28,0,47
25/05/1970,567,41,0,28,0,45
26/05/1970,567,41,0,28,0,42
27/05/1970,567,41,0,28,0,40
28/05/1970,567,41,0,28,0,37
29/05/1970,567,41,0,28,0,39
30/05/1970,567,41,0,28,0,41
31/05/1970,567,41,0,28,0,40
1/06/1970,353,40,1,67,0,39
2/06/1970,353,40,1,67,0,37
3/06/1970,353,40,1,67,0,46
4/06/1970,353,40,1,67,0,69
5/06/1970,353,40,1,67,0,73
6/06/1970,353,40,1,67,0,66
7/06/1970,353,40,1,67,0,58
8/06/1970,353,40,1,67,0,66
9/06/1970,353,40,1,67,0,69
10/06/1970,353,40,1,67,0,86
11/06/1970,353,40,1,67,0,88
12/06/1970,353,40,1,67,0,83
13/06/1970,353,40,1,67,0,86
14/06/1970,353,40,1,67,0,90
15/06/1970,353,40,1,67,0,137
16/06/1970,353,40,1,67,0,175
17/06/1970,353,40,1,67,0,193
18/06/1970,353,40,1,67,0,196
19/06/1970,353,40,1,67,0,187
20/06/1970,353,40,1,67,0,174
21/06/1970,353,40,1,67,0,193
22/06/1970,353,40,1,67,0,207
23/06/1970,353,40,1,67,0,200
24/06/1970,353,40,1,67,0,184
25/06/1970,353,40,1,67,0,164
26/06/1970,353,40,1,67,0,149
27/06/1970,353,40,1,67,0,246
28/06/1970,353,40,1,67,0,317
29/06/1970,353,40,1,67,0,354
30/06/1970,353,40,1,67,0,404
1/07/1970,510,41,0,107,0,597
2/07/1970,510,41,0,107,0,728
3/07/1970,510,41,0,107,0,759
4/07/1970,510,41,0,107,0,706
5/07/1970,510,41,0,107,0,632
6/07/1970,510,41,0,107,0,544
7/07/1970,510,41,0,107,0,458
8/07/1970,510,41,0,107,0,379
9/07/1970,510,41,0,107,0,316
10/07/1970,510,41,0,107,0,268
11/07/1970,510,41,0,107,0,241
12/07/1970,510,41,0,107,0,216
13/07/1970,510,41,0,107,0,193
14/07/1970,510,41,0,107,0,173
15/07/1970,510,41,0,107,0,155
16/07/1970,510,41,0,107,0,140
17/07/1970,510,41,0,107,0,141
18/07/1970,510,41,0,107,0,422
19/07/1970,510,41,0,107,0,735
20/07/1970,510,41,0,107,0,912
21/07/1970,510,41,0,107,0,933
22/07/1970,510,41,0,107,0,851
23/07/1970,510,41,0,107,0,734
24/07/1970,510,41,0,107,0,606
25/07/1970,510,41,0,107,0,497
26/07/1970,510,41,0,107,0,407
27/07/1970,510,41,0,107,0,332
28/07/1970,510,41,0,107,0,273
29/07/1970,510,41,0,107,0,227
30/07/1970,510,41,0,107,0,192
31/07/1970,510,41,0,107,0,166
1/08/1970,739,71,16,103,0,149
2/08/1970,739,71,16,103,0,278
3/08/1970,739,71,16,103,0,929
4/08/1970,739,71,16,103,0,1263
5/08/1970,739,71,16,103,0,1254
6/08/1970,739,71,16,103,0,1094
7/08/1970,739,71,16,103,0,899
8/08/1970,739,71,16,103,0,723
9/08/1970,739,71,16,103,0,576
10/08/1970,739,71,16,103,0,468
11/08/1970,739,71,16,103,0,389
12/08/1970,739,71,16,103,0,419
13/08/1970,739,71,16,103,0,455
14/08/1970,739,71,16,103,0,444
15/08/1970,739,71,16,103,0,437
16/08/1970,739,71,16,103,0,428
17/08/1970,739,71,16,103,0,436
18/08/1970,739,71,16,103,0,408
19/08/1970,739,71,16,103,0,371
20/08/1970,739,71,16,103,0,329
21/08/1970,739,71,16,103,0,287
22/08/1970,739,71,16,103,0,259
23/08/1970,739,71,16,103,0,238
24/08/1970,739,71,16,103,0,221
25/08/1970,739,71,16,103,0,215
26/08/1970,739,71,16,103,0,210
27/08/1970,739,71,16,103,0,746
28/08/1970,739,71,16,103,0,1401
29/08/1970,739,71,16,103,0,1805
30/08/1970,739,71,16,103,0,1820
31/08/1970,739,71,16,103,0,1606
1/09/1970,714,54,0,11,0,1326
2/09/1970,714,54,0,11,0,1060
3/09/1970,714,54,0,11,0,837
4/09/1970,714,54,0,11,0,665
5/09/1970,714,54,0,11,0,538
6/09/1970,714,54,0,11,0,443
7/09/1970,714,54,0,11,0,372
8/09/1970,714,54,0,11,0,314
9/09/1970,714,54,0,11,0,287
10/09/1970,714,54,0,11,0,280
11/09/1970,714,54,0,11,0,274
12/09/1970,714,54,0,11,0,256
13/09/1970,714,54,0,11,0,236
14/09/1970,714,54,0,11,0,227
15/09/1970,714,54,0,11,0,293
16/09/1970,714,54,0,11,0,309
17/09/1970,714,54,0,11,0,291
18/09/1970,714,54,0,11,0,266
19/09/1970,714,54,0,11,0,240
20/09/1970,714,54,0,11,0,220
21/09/1970,714,54,0,11,0,208
22/09/1970,714,54,0,11,0,299
23/09/1970,714,54,0,11,0,379
24/09/1970,714,54,0,11,0,394
25/09/1970,714,54,0,11,0,364
26/09/1970,714,54,0,11,0,320
27/09/1970,714,54,0,11,0,418
28/09/1970,714,54,0,11,0,972
29/09/1970,714,54,0,11,0,1242
30/09/1970,714,54,0,11,0,1232
1/10/1970,1217,72,0,29,0,1134
2/10/1970,1217,72,0,29,0,961
3/10/1970,1217,72,0,29,0,786
4/10/1970,1217,72,0,29,0,637
5/10/1970,1217,72,0,29,0,507
6/10/1970,1217,72,0,29,0,403
7/10/1970,1217,72,0,29,0,327
8/10/1970,1217,72,0,29,0,271
9/10/1970,1217,72,0,29,0,238
10/10/1970,1217,72,0,29,0,212
11/10/1970,1217,72,0,29,0,188
12/10/1970,1217,72,0,29,0,168
13/10/1970,1217,72,0,29,0,160
14/10/1970,1217,72,0,29,0,156
15/10/1970,1217,72,0,29,0,148
16/10/1970,1217,72,0,29,0,138
17/10/1970,1217,72,0,29,0,131
18/10/1970,1217,72,0,29,0,124
19/10/1970,1217,72,0,29,0,117
20/10/1970,1217,72,0,29,0,110
21/10/1970,1217,72,0,29,0,105
22/10/1970,1217,72,0,29,0,101
23/10/1970,1217,72,0,29,0,97
24/10/1970,1217,72,0,29,0,98
25/10/1970,1217,72,0,29,0,97
26/10/1970,1217,72,0,29,0,94
27/10/1970,1217,72,0,29,0,90
28/10/1970,1217,72,0,29,0,87
29/10/1970,1217,72,0,29,0,87
30/10/1970,1217,72,0,29,0,86
31/10/1970,1217,72,0,29,0,84
1/11/1970,1453,89,0,67,0,82
2/11/1970,1453,89,0,67,0,79
3/11/1970,1453,89,0,67,0,76
4/11/1970,1453,89,0,67,0,73
5/11/1970,1453,89,0,67,0,72
6/11/1970,1453,89,0,67,0,72
7/11/1970,1453,89,0,67,0,70
8/11/1970,1453,89,0,67,0,69
9/11/1970,1453,89,0,67,0,67
10/11/1970,1453,89,0,67,0,65
11/11/1970,1453,89,0,67,0,69
12/11/1970,1453,89,0,67,0,79
13/11/1970,1453,89,0,67,0,95
14/11/1970,1453,89,0,67,0,115
15/11/1970,1453,89,0,67,0,196
16/11/1970,1453,89,0,67,0,305
17/11/1970,1453,89,0,67,0,385
18/11/1970,1453,89,0,67,0,415
19/11/1970,1453,89,0,67,0,402
20/11/1970,1453,89,0,67,0,366
21/11/1970,1453,89,0,67,0,319
22/11/1970,1453,89,0,67,0,273
23/11/1970,1453,89,0,67,0,232
24/11/1970,1453,89,0,67,0,197
25/11/1970,1453,89,0,67,0,169
26/11/1970,1453,89,0,67,0,146
27/11/1970,1453,89,0,67,0,127
28/11/1970,1453,89,0,67,0,113
29/11/1970,1453,89,0,67,0,101
30/11/1970,1453,89,0,67,0,91
1/12/1970,1914,112,17,75,0,83
2/12/1970,1914,112,17,75,0,76
3/12/1970,1914,112,17,75,0,70
4/12/1970,1914,112,17,75,0,71
5/12/1970,1914,112,17,75,0,97
6/12/1970,1914,112,17,75,0,124
7/12/1970,1914,112,17,75,0,152
8/12/1970,1914,112,17,75,0,176
9/12/1970,1914,112,17,75,0,189
10/12/1970,1914,112,17,75,0,190
11/12/1970,1914,112,17,75,0,192
12/12/1970,1914,112,17,75,0,189
13/12/1970,1914,112,17,75,0,181
14/12/1970,1914,112,17,75,0,170
15/12/1970,1914,112,17,75,0,157
16/12/1970,1914,112,17,75,0,143
17/12/1970,1914,112,17,75,0,129
18/12/1970,1914,112,17,75,0,116
19/12/1970,1914,112,17,75,0,104
20/12/1970,1914,112,17,75,0,94
21/12/1970,1914,112,17,75,0,85
22/12/1970,1914,112,17,75,0,77
23/12/1970,1914,112,17,75,0,71
24/12/1970,1914,112,17,75,0,65
25/12/1970,1914,112,17,75,0,61
26/12/1970,1914,112,17,75,0,56
27/12/1970,1914,112,17,75,0,53
28/12/1970,1914,112,17,75,0,50
29/12/1970,1914,112,17,75,0,48
30/12/1970,1914,112,17,75,0,47
31/12/1970,1914,112,17,75,0,46
1/01/1971,2111,148,26,121,0,45
2/01/1971,2111,148,26,121,0,43
3/01/1971,2111,148,26,121,0,42
4/01/1971,2111,148,26,121,0,40
5/01/1971,2111,148,26,121,0,39
6/01/1971,2111,148,26,121,0,37
7/01/1971,2111,148,26,121,0,35
8/01/1971,2111,148,26,121,0,34
9/01/1971,2111,148,26,121,0,33
10/01/1971,2111,148,26,121,0,32
11/01/1971,2111,148,26,121,0,31
12/01/1971,2111,148,26,121,0,30
13/01/1971,2111,148,26,121,0,30
14/01/1971,2111,148,26,121,0,29
15/01/1971,2111,148,26,121,0,29
16/01/1971,2111,148,26,121,0,28
17/01/1971,2111,148,26,121,0,28
18/01/1971,2111,148,26,121,0,27
19/01/1971,2111,148,26,121,0,27
20/01/1971,2111,148,26,121,0,26
21/01/1971,2111,148,26,121,0,25
22/01/1971,2111,148,26,121,0,25
23/01/1971,2111,148,26,121,0,24
24/01/1971,2111,148,26,121,0,23
25/01/1971,2111,148,26,121,0,23
26/01/1971,2111,148,26,121,0,23
27/01/1971,2111,148,26,121,0,23
28/01/1971,2111,148,26,121,0,23
29/01/1971,2111,148,26,121,0,23
30/01/1971,2111,148,26,121,0,23
31/01/1971,2111,148,26,121,0,23
1/02/1971,1844,150,23,131,0,23
2/02/1971,1844,150,23,131,0,23
3/02/1971,1844,150,23,131,0,23
4/02/1971,1844,150,23,131,0,24
5/02/1971,1844,150,23,131,0,23
6/02/1971,1844,150,23,131,0,23
7/02/1971,1844,150,23,131,0,22
8/02/1971,1844,150,23,131,0,21
9/02/1971,1844,150,23,131,0,21
10/02/1971,1844,150,23,131,0,21
11/02/1971,1844,150,23,131,0,21
12/02/1971,1844,150,23,131,0,20
13/02/1971,1844,150,23,131,0,20
14/02/1971,1844,150,23,131,0,20
15/02/1971,1844,150,23,131,0,19
16/02/1971,1844,150,23,131,0,18
17/02/1971,1844,150,23,131,0,18
18/02/1971,1844,150,23,131,0,17
19/02/1971,1844,150,23,131,0,16
20/02/1971,1844,150,23,131,0,16
21/02/1971,1844,150,23,131,0,16
22/02/1971,1844,150,23,131,0,17
23/02/1971,1844,150,23,131,0,17
24/02/1971,1844,150,23,131,0,17
25/02/1971,1844,150,23,131,0,16
26/02/1971,1844,150,23,131,0,16
27/02/1971,1844,150,23,131,0,16
28/02/1971,1844,150,23,131,0,16
1/03/1971,1448,112,22,61,0,16
2/03/1971,1448,112,22,61,0,17
3/03/1971,1448,112,22,61,0,18
4/03/1971,1448,112,22,61,0,18
5/03/1971,1448,112,22,61,0,17
6/03/1971,1448,112,22,61,0,17
7/03/1971,1448,112,22,61,0,17
8/03/1971,1448,112,22,61,0,17
9/03/1971,1448,112,22,61,0,17
10/03/1971,1448,112,22,61,0,17
11/03/1971,1448,112,22,61,0,17
12/03/1971,1448,112,22,61,0,18
13/03/1971,1448,112,22,61,0,18
14/03/1971,1448,112,22,61,0,18
15/03/1971,1448,112,22,61,0,36
16/03/1971,1448,112,22,61,0,46
17/03/1971,1448,112,22,61,0,44
18/03/1971,1448,112,22,61,0,37
19/03/1971,1448,112,22,61,0,31
20/03/1971,1448,112,22,61,0,26
21/03/1971,1448,112,22,61,0,23
22/03/1971,1448,112,22,61,0,20
23/03/1971,1448,112,22,61,0,19
24/03/1971,1448,112,22,61,0,18
25/03/1971,1448,112,22,61,0,17
26/03/1971,1448,112,22,61,0,17
27/03/1971,1448,112,22,61,0,16
28/03/1971,1448,112,22,61,0,16
29/03/1971,1448,112,22,61,0,16
30/03/1971,1448,112,22,61,0,15
31/03/1971,1448,112,22,61,0,15
1/04/1971,845,77,5,79,0,15
2/04/1971,845,77,5,79,0,16
3/04/1971,845,77,5,79,0,16
4/04/1971,845,77,5,79,0,17
5/04/1971,845,77,5,79,0,17
6/04/1971,845,77,5,79,0,17
7/04/1971,845,77,5,79,0,18
8/04/1971,845,77,5,79,0,18
9/04/1971,845,77,5,79,0,18
10/04/1971,845,77,5,79,0,18
11/04/1971,845,77,5,79,0,18
12/04/1971,845,77,5,79,0,18
13/04/1971,845,77,5,79,0,17
14/04/1971,845,77,5,79,0,17
15/04/1971,845,77,5,79,0,18
16/04/1971,845,77,5,79,0,26
17/04/1971,845,77,5,79,0,38
18/04/1971,845,77,5,79,0,49
19/04/1971,845,77,5,79,0,60
20/04/1971,845,77,5,79,0,61
21/04/1971,845,77,5,79,0,58
22/04/1971,845,77,5,79,0,55
23/04/1971,845,77,5,79,0,49
24/04/1971,845,77,5,79,0,61
25/04/1971,845,77,5,79,0,81
26/04/1971,845,77,5,79,0,160
27/04/1971,845,77,5,79,0,617
28/04/1971,845,77,5,79,0,1059
29/04/1971,845,77,5,79,0,1179
30/04/1971,845,77,5,79,0,1102
1/05/1971,421,44,0,10,0,1231
2/05/1971,421,44,0,10,0,1362
3/05/1971,421,44,0,10,0,2047
4/05/1971,421,44,0,10,0,4151
5/05/1971,421,44,0,10,0,4055
6/05/1971,421,44,0,10,0,3308
7/05/1971,421,44,0,10,0,2524
8/05/1971,421,44,0,10,0,1880
9/05/1971,421,44,0,10,0,1406
10/05/1971,421,44,0,10,0,1070
11/05/1971,421,44,0,10,0,830
12/05/1971,421,44,0,10,0,659
13/05/1971,421,44,0,10,0,538
14/05/1971,421,44,0,10,0,452
15/05/1971,421,44,0,10,0,388
16/05/1971,421,44,0,10,0,337
17/05/1971,421,44,0,10,0,296
18/05/1971,421,44,0,10,0,264
19/05/1971,421,44,0,10,0,239
20/05/1971,421,44,0,10,0,238
21/05/1971,421,44,0,10,0,234
22/05/1971,421,44,0,10,0,228
23/05/1971,421,44,0,10,0,222
24/05/1971,421,44,0,10,0,212
25/05/1971,421,44,0,10,0,212
26/05/1971,421,44,0,10,0,222
27/05/1971,421,44,0,10,0,234
28/05/1971,421,44,0,10,0,277
29/05/1971,421,44,0,10,0,973
30/05/1971,421,44,0,10,0,960
31/05/1971,421,44,0,10,0,892
1/06/1971,414,42,0,9,0,811
2/06/1971,414,42,0,9,0,1008
3/06/1971,414,42,0,9,0,956
4/06/1971,414,42,0,9,0,880
5/06/1971,414,42,0,9,0,755
6/06/1971,414,42,0,9,0,637
7/06/1971,414,42,0,9,0,534
8/06/1971,414,42,0,9,0,521
9/06/1971,414,42,0,9,0,474
