Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
18,210255,232325.24,61574.05,922163.85,160699.92
19,403189,1078354.8,103398.4,2430698.8,1734011.2
19.6,2704930.1,7068868.4,559732.2,9756621,9490257.9
20,5512411.8,8083106.8,733666.5,11440744,13186207
