Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
9,0,0,0,0,0
9.8,0,0,0,0,0
9.839733,839646.627,3485763.206,1907216.387,4360271.531,6213.437
10.1448785,993799.244,6098038.633,2436026.985,5076226.837,8199.411
10.450024,1293701.4,9843926.4,3339817.5,6507509.9,14074.8
10.798137,2129224.17,15504770.31,4639367.01,8178572.13,32582.39
11.14625,3307226.58,22481493.72,6303709.96,9860358.23,52427.14
11.323125,4513592.65,28257540.51,7992849.02,11134331.15,56312.61
11.5,6097469.79,35047706.51,10785965.33,12463824.57,89297.99
11.75,7405665.7,41170704.9,12990971.5,13571040.9,101474.6
12,9083478,45895530,15389343,14513419,103379
12.25,10489695,48591621.2,16994447.5,15052432.7,104357.6
12.5,11716644.4,50664619.2,18189972.7,15398626.6,104447.1
12.6,12933363.5,52897251.8,19195143.5,15620487.5,108011.4
12.7,14331295.8,54241838.9,20016225.6,15772129.5,109432.1
12.8,15492854.5,55166838.5,20621939.5,15888549.8,116010.7
15,15492854.5,55166838.5,20621939.5,15888549.8,116010.7
